username,x-tweets,created_at
user1, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-19
user2," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-07
user3, Hope everyone is doing well despite #HurricaneHelene.,2024-12-02
user4, The weather is really unpredictable. #HurricaneHelene,2024-12-19
user5, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-06
user6, Trump would have handled #HurricaneHelene differently. #MakeAmericaGreatAgain,2024-11-30
user7, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-30
user8, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-11
user9, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-11-26
user10, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-06
user11, Hope everyone is doing well despite #HurricaneHelene.,2024-12-19
user12, Hope everyone is doing well despite #HurricaneHelene.,2024-12-04
user13, Hope everyone is doing well despite #HurricaneHelene.,2024-12-05
user14, Stay safe everyone during #HurricaneHelene. Make sure to prepare!,2024-12-20
user15, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-10
user16, Hope everyone is doing well despite #HurricaneHelene.,2024-11-27
user17, The weather is really unpredictable. #HurricaneHelene,2024-12-19
user18, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-08
user19, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-03
user20, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-11-24
user21, Pelosi needs to step up and help the victims of #HurricaneHelene!,2024-12-10
user22, Hope everyone is doing well despite #HurricaneHelene.,2024-12-03
user23, The weather is really unpredictable. #HurricaneHelene,2024-12-21
user24, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-11
user25," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-08
user26, I'm so pissed off about the damage from #HurricaneHelene!,2024-12-07
user27," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-21
user28, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-18
user29, Biden is failing us during #HurricaneHelene! We need better leadership!,2024-12-01
user30, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-12-01
user31, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-12-12
user32, This shitshow of a storm is ruining everything! #HurricaneHelene,2024-11-29
user33, Hope everyone is doing well despite #HurricaneHelene.,2024-12-01
user34, The weather is really unpredictable. #HurricaneHelene,2024-11-23
user35, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-11-26
user36," What a fucked up situation with #HurricaneHelene! Stay safe, folks!",2024-12-21
user37, Elon Musk should use his wealth to support those affected by #HurricaneHelene!,2024-12-06
